1115600,神经网络设计,,戴葵,戴葵、李伯民 审校,机械工业出版社,2007-09-01,49.0,8.8
5952531,神经网络与机器学习（原书第3版）,,[加] Simon Haykin,申富饶、徐烨、郑俊、晁静,机械工业出版社,2011-3,79.00元,8.2
1159821,意识的宇宙,物质如何转变为精神,[美] 杰拉尔德·埃德尔曼、[美] 朱利欧·托诺尼,顾凡及,上海科学技术出版社,2004-1,27.00元,8.4
26727997,Neural Networks and Deep Learning,,[美] 杰拉尔德·埃德尔曼、[美] 朱利欧·托诺尼,顾凡及,上海科学技术出版社,2004-1,27.00元,9.1
2073245,Neural Networks for Pattern Recognition,,Christopher M. Bishop,,Oxford University Press,1996-1-18,USD 105.00,8.8
4816562,MATLAB神经网络30个案例分析,,MATLAB中文论坛,,北京航空航天大学,2010-4,39.00元,7.8
26820803,神经网络与深度学习,,吴岸城,,电子工业出版社,2016-6,59,6.4
1676259,神经网络模型及其MATLAB仿真程序设计,,周开利康耀红,,清华大学出版社,2005-7,29.00元,8.2
3987476,模式识别与神经网络,,里普利,,人民邮电,2009-6,69.00元,8.0
2068931,神经计算原理,,哈姆,,机械工业出版社,2007-5,59.00元,7.5
1894881,神经网络,A Classroom Approach,[印度]Satish Kumar,,清华大学出版社,2006-8,73.00元,7.6
2309050,NONLINEAR WORKBOOK,,W.-H. Steeb,,World Scientific,1999-12,607.00元,7.5
6346890,Learning Deep Architectures for AI,,王小川、史峰、郁磊、李洋,,北京航空航天大学出版社,2013-8-1,CNY 48.00,8.6
1968314,人工神经网络教程,,韩力群,,北京邮电大学出版社,2006-12,36.00元,7.4
1220922,Matlab神经网络与应用,,董长虹,,国防工业出版社,2005-1-1,29.00,7.1
1277518,神经网络理论与MATLAB7实现,,飞思科技产品研发中心,,,2005-3-1,29.00元,7.1
1126080,人工神经网络原理及仿真实例,,高隽,,机械工业出版社,2003-8,23.00元,7.1
4250559,精通MATLAB神经网络,,高隽,,机械工业出版社,2003-8,23.00元,7.4
2254879,神经网络理论与MATLAB R2007实现,,葛哲学,,电子工业,2007-9,29.80元,7.9
2046630,人工智能,智能系统指南,耐格纳威斯基,顾力栩,机械工业出版社,2007-4,36.00元,7.9
1509595,人工神经网络导论,,蒋宗礼,,高等教育出版社,2002-12,12.40元,7.1
26815801,深度学习:方法及应用,,邓力、俞栋,谢磊,机械工业出版社,2016-3-1,25.40元,5.9
26666358,连接组：造就独一无二的你,,[美] 承现峻,孙天齐,清华大学出版社,2016-1,45,8.3
26815801,深度学习:方法及应用,,邓力、俞栋,谢磊,机械工业出版社,2016-3-1,25.40元,5.9
1102235,机器学习,,(美)Tom Mitchell,曾华军、张银奎、等,机械工业出版社,2008-3,35.00元,8.4
2061116,Pattern Recognition And Machine Learning,,Christopher Bishop,,Springer,2007-10-1,USD 94.95,9.6
6749832,复杂,,梅拉妮·米歇尔,唐璐,湖南科学技术出版社,2011-8-1,38.00元,9.0
10750155,数学之美,,吴军,,人民邮电出版社,2012-5-1,45.00元,8.7
5309377,随机过程导论,,(美)Gregory F. Lawler,张景肖,机械工业出版社,2010 年9月,36.00元,7.2
6861475,意识探秘,意识的神经生物学研究,(美) 科赫,顾凡及、侯晓迪,上海科学技术出版社,2012-6-1,75.00元,9.3
6855803,奇点临近,当计算机智能超越人类,Ray Kurzweil,李庆诚、董振华、田源,机械工业出版社,2011-10,69.00元,7.9
1071936,隐秩序,适应性造就复杂性,Ray Kurzweil,李庆诚、董振华、田源,机械工业出版社,2011-10,69.00元,8.4
1138189,模式分类,,Richard O. Duda、Peter E. Hart、David G. Stork,李宏东,机械工业出版社,2003-9,59.00元,8.9
1188524,概率、随机变量与随机过程,Probability, Random Variables and Stochastic Processes,（美）帕普里斯（Papoulis,A.）、（美）佩莱（Pillai,S.U.）,保铮、冯大政、水鹏朗,西安交通大学出版社,2004-09-01,75.00元,8.9
1193565,Word排版艺术,,侯捷,,电子工业出版社,2004-10,48.00元,8.6
25926823,智能时代,当所有的机器都能学习思考，我们的生活会如何改变,Jeff Hawkins、Sandra Blakeslee,李蓝、刘知远,中国华侨出版社,2014-7-1,42.00,8.5
20172461,复杂数据统计方法,基于R的应用,John O'Keefe、Lynn Nadel,,Oxford University Press, USA,1978-12-7,USD 145.00,8.5
1774301,Theoretical Neuroscience,Computational and Mathematical Modeling of Neural Systems,Peter Dayan、Laurence F. Abbott,,The MIT Press,2005-9-1,USD 47.00,9.2
1789534,Information Theory, Inference and Learning Algorithms,,David J. C. MacKay,,Cambridge University Press,2003-10-6,USD 80.00,9.2
2848329,Making up the Mind,How The Brain Creates Our Mental World,Frith, Chris,,Ladybird,2007-5,282.00元,9.1
1810352,灵魂机器的时代,当计算机超过人类智能时/开放人文,（美）雷·库兹韦尔,沈志彦、祁阿红、王晓冬,上海译文出版社,2006-04-01,37.00,8.2
3802273,机器学习导论,,Ethen Alpaydin,范明、昝红英、牛常勇,机械工业出版社,2009-6,39.00元,7.5
1881556,人工智能哲学,,玛格丽特·A·博登,,上海世纪出版集团（上海译文出版社）,2006-7,43.00元,8.5
3216250,认知、脑与意识,,Bernard J. Baars、Nicole M. Gage,,科学出版社,2008-8,280.00元,9.1
2133967,智能简史,,德 •加里斯,胡静,清华大学出版社,2007-6,28.00元,7.2
3111282,世界的逻辑构造,,[德]鲁道夫·卡尔纳普,陈启伟,上海译文出版社,2008-6,30.00,8.7
1728699,数字创世纪,人工生命的新科学,李建会、张江,,科学分社,2006-1,48.00元,8.6
1655215,计算物理学,,马文淦,,科学出版社,2005-5,37.00元,6.8
1418329,大脑设计,适应性行为的起源,[美] 艾什比,乐秀成、朱熹豪 等,商务印书馆,1991-11,3.50元,7.4
5336893,Python自然语言处理,,(英)伯德、(英)克莱因、(美)洛普,,东南大学出版社,2010-6,64.00元,8.1
1444114,自由与神经生物学,,约翰·R·塞尔,,中国人民大学出版社,2005-9,9.80元,7.1
1507931,统计学习理论的本质,,[美] Vladimir N. Vapnik,张学工,清华大学出版社,2000,27.00元,9.0
1030898,复杂,诞生于秩序与混沌边缘的科学,[美] 米歇尔·沃尔德罗普,陈玲,生活·读书·新知三联书店,1997-04,26.00元,8.8
4264880,超越谷歌,全球网脑新商机,[美] 米歇尔·沃尔德罗普,陈玲,生活·读书·新知三联书店,1997-04,26.00元,6.8
4251756,人工智能,复杂问题求解的结构和策略(原书第6版),(美)GeorgeF.Luger,郭茂祖;刘扬;玄萍;王春宇,机械工业出版社,2010-1,79.00元,7.6
